id,valence,tempo,danceability,energy,loudness,duration_ms
3rmo8F54jFF8OgYsqTxm5d,0.537,126.011,0.807,0.893,-3.745,230747
2j3GxEsbNYNeEzz86wDY4J,0.228,183.793,0.269,0.591,-5.79,403044
7xapw9Oy21WpfEcib2ErSA,0.854,161.993,0.657,0.56,-9.049,182947
5CZ40GBx1sQ9agT82CLQCT,0.0849,100.607,0.38,0.339,-7.885,229227
4kKdvXD0ez7jp1296JmAts,0.836,142.169,0.652,0.259,-13.336,155453
46IZ0fSY2mpAiktS3KOqds,0.13,141.981,0.604,0.366,-7.519,224695
09gysnJpfQ3ublBmJDfcEC,0.319,110.02,0.87,0.523,-8.052,204764
2JPLbjOn0wPCngEot2STUS,0.44,179.951,0.644,0.648,-4.601,206710
15HMh4yxdf4wyxSZSlOgGZ,0.312,110.066,0.859,0.525,-8.051,204764
2gQPv5jvVPqU2a9HhMNO1v,0.687,179.629,0.594,0.612,-6.627,168020
1r9xUipOqoNwggBpENDsvJ,0.555,77.011,0.728,0.783,-4.424,173381
7sMBvZCSUl99bJLXZaLa0b,0.848,82.03,0.627,0.618,-8.529,197443
4PS1e8f2LvuTFgUs1Cn3ON,0.209,78.696,0.319,0.21,-15.231,192160
4gzsuuZypVbxs0Af1LSZyB,0.138,169.888,0.639,0.703,-6.33,207301
6bGMSP3H9YqkmaLnaJTIoF,0.459,165.902,0.366,0.364,-7.814,366004
1LPSkqVhWVRUkKE03YUkpB,0.719,148.088,0.586,0.616,-7.964,242096
2gpWyfu7eZ01zzncHpxOtA,0.109,120.122,0.542,0.659,-7.289,234000
13CVSGLSFl4UxpDVR6u3dq,0.134,68.004,0.387,0.253,-8.901,182163
0eu4C55hL6x29mmeAjytzC,0.569,79.982,0.7,0.49,-5.187,161803
5nujrmhLynf4yMoMtj8AQF,0.915,102.977,0.702,0.825,-3.787,203064
4so0Wek9Ig1p6CRCHuINwW,0.247,130.503,0.317,0.158,-16.485,177480
7uoFMmxln0GPXQ0AcCBXRq,0.326,104.957,0.716,0.512,-6.257,165907
00Blm7zeNqgYLPtW6zg8cj,0.688,97.014,0.687,0.781,-4.806,193507
5wANPM4fQCJwkGd4rN57mH,0.137,143.875,0.561,0.431,-8.81,242013
5RwV8BvLfX5injfqYodke9,0.336,127.962,0.78,0.719,-3.613,199604
2Xr1dTzJee307rmrkt8c0g,0.533,93.005,0.727,0.739,-3.805,145800
5TMLavqGRKNxgzMBrVpC9R,0.362,116.041,0.748,0.761,-6.621,179940
01K4zKU104LyJ8gMb7227B,0.446,101.96,0.606,0.377,-9.455,258813
6I3mqTwhRpn34SLVafSH7G,0.441,153.96,0.601,0.741,-5.569,153190
50nfwKoDiSYg8zOCREWAm5,0.822,141.02,0.788,0.859,-2.724,207853
4SqWKzw0CbA05TGszDgMlc,0.466,75.977,0.575,0.648,-4.891,160240
4IQkfUsrwXol38VV3U7t7T,0.443,125.039,0.61,0.488,-6.918,240227
7hU3IHwjX150XLoTVmjD0q,0.396,140.026,0.831,0.554,-9.998,168228
6dmXZ9B5HdFAyzHeTneYBK,0.821,136.01,0.77,0.302,-7.911,188103
0VjIjW4GlUZAMYd2vXMi3b,0.334,171.005,0.514,0.73,-5.934,200040
46HNZY1i7O6jwTA7Slo2PI,0.47,105.006,0.573,0.711,-6.268,226198
10ImcQk9tihY1EKMDIbvXJ,0.289,170.425,0.356,0.176,-8.291,403962
0lizgQ7Qw35od7CYaoMBZb,0.591,191.9,0.525,0.621,-7.364,204093
7qM1BWAsZMTYh4BcYLb0uQ,0.119,83.5,0.74,0.501,-6.339,231011
09u787BYeYIGd2mFIJ505t,0.59,125.064,0.756,0.713,-6.917,255278
0lLdorYw7lVrJydTINhWdI,0.363,94.775,0.339,0.214,-11.714,206640
4OAuvHryIVv4kMDNSLuPt6,0.408,125.047,0.516,0.777,-4.908,223093
7vQbuQcyTflfCIOu3Uzzya,0.806,119.705,0.754,0.424,-8.463,130973
2vmfvSoZBFAt9hhRoEByLi,0.791,175.896,0.725,0.86,-3.726,230125
3qCeq0rWK67SoBDgFd2sId,0.967,148.733,0.514,0.818,-9.642,182307
20on25jryn53hWghthWWW3,0.637,124.927,0.854,0.806,-8.262,157890
02MWAaffLxlfxAUY7c5dvx,0.531,80.87,0.761,0.525,-6.9,238805
0bYg9bo50gSsH3LtXe2SQn,0.35,150.273,0.336,0.627,-7.463,241107
1SC5rEoYDGUK4NfG82494W,0.71,178.781,0.593,0.503,-6.725,137704
27qAMKrDdKEs8HDXcvR24R,0.866,180.183,0.513,0.583,-10.863,241627
6AtZLIzUINvExIUy4QhdjP,0.767,154.008,0.584,0.557,-6.371,219760
2c6xRsQBv7pynuhYhWoHxo,0.329,145.601,0.594,0.37,-10.561,300248
6v0UJD4a2FtleHeSYVX02A,0.306,115.389,0.437,0.565,-5.596,376169
2EjXfH91m7f8HiJN1yQg97,0.898,67.196,0.589,0.472,-8.749,126267
4gvrJnKCKIPiacNsWVQwEU,0.443,119.9,0.579,0.596,-4.823,188369
7rglLriMNBPAyuJOMGwi39,0.934,116.032,0.795,0.8,-6.32,202735
5enxwA8aAbwZbf5qCHORXi,0.205,93.023,0.631,0.518,-8.771,613027
0e8nrvls4Qqv5Rfa2UhqmO,0.546,87.981,0.737,0.846,-4.51,143901
2FRnf9qhLbvw8fu4IBXx78,0.947,107.682,0.735,0.478,-12.472,262960
2QjOHCTQ1Jl3zawyYOpxh6,0.398,124.053,0.612,0.807,-2.81,240400
496vIKS2INz840xZaKncvR,0.307,127.989,0.734,0.497,-9.666,161829
04S1pkp1VaIqjg8zZqknR5,0.228,81.975,0.535,0.618,-3.913,352200
2B4GHvToeLTOBB4QLzW3Ni,0.442,130.001,0.762,0.766,-3.955,287120
4RVwu0g32PAqgUiJoXsdF8,0.297,81.055,0.332,0.225,-8.697,298899
3uUuGVFu1V7jTQL60S1r8z,0.262,120.966,0.671,0.636,-8.117,148197
6f5ExP43esnvdKPddwKXJH,0.699,110.054,0.717,0.671,-5.077,160657
5PjdY0CKGZdEuoNab3yDmX,0.478,169.928,0.591,0.764,-5.484,141806
4CkgMiMqZ5JzW9iYXSTMTL,0.473,149.654,0.391,0.715,-4.516,285107
0gplL1WMoJ6iYaPgMCL0gX,0.13,141.981,0.604,0.366,-7.519,224695
4ZtFanR9U6ndgddUvNcjcG,0.688,166.928,0.563,0.664,-5.044,178147
3yII7UwgLF6K5zW3xad3MP,0.642,103.984,0.642,0.695,-5.62,230960
3Kkjo3cT83cw09VJyrLNwX,0.55,88.098,0.534,0.725,-3.906,225149
5Z9KJZvQzH6PFmb8SNkxuk,0.892,150.087,0.741,0.691,-7.395,212353
6Uj1ctrBOjOas8xZXGqKk4,0.881,107.998,0.824,0.764,-4.175,172627
1n3b9Eekoy3S9ZSZ5DmTW1,0.189,93.009,0.585,0.286,-10.123,598150
3Vi5XqYrmQgOYBajMWSvCi,0.194,130.041,0.664,0.609,-6.509,210560
3Wrjm47oTz2sjIgck11l5e,0.589,134.002,0.714,0.8,-4.808,211560
3nsfB1vus2qaloUdcBZvDu,0.132,185.972,0.44,0.528,-7.809,329160
2DuPBbS5mIldXnh7Wum8Cy,0.102,151.865,0.339,0.492,-10.661,389107
6lzc0Al0zfZOIFsFvBS1ki,0.328,129.958,0.594,0.713,-5.314,295413
3DarAbFujv6eYNliUTyqtz,0.781,110.97,0.764,0.705,-3.463,208667
1IcR6RlgvDczfvoWJSSY2A,0.649,201.739,0.234,0.526,-11.656,151000
4fouWK6XVHhzl78KzQ1UjL,0.415,121.932,0.695,0.54,-5.692,168602
07MDkzWARZaLEdKxo6yArG,0.399,94.995,0.773,0.47,-7.93,162680
6w8ZPYdnGajyfPddTWdthN,0.536,97.985,0.703,0.68,-6.118,210384
3nAp4IvdMPPWEH9uuXFFV5,0.689,159.876,0.509,0.812,-5.438,229640
